"id";"ship";"imo";"updated";"lat";"long";"sog";"cog";"hdg";"depPort";"arrPort";"etdSchedule";"etd";"atd";"etaSchedule";"eta";"ata";"travel_time_hours";"departure_delay_hours";"arrival_delay_hours";"departed_on_time";"arrived_on_time";"has_complete_voyage"
4671;Megastar;9773064;"2018-04-06 07:40";60.0631;24.8974;21.7;180;181;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:30";"2018-06-04 09:28";1418.96;-1.0;-0.03;on time;on time;complete
4672;Star;9364722;"2018-04-06 07:40";59.5398;24.7309;23.0;342;339;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:27";"2018-06-04 09:23";1418.03;-0.14;-0.07;on time;on time;complete
4673;Megastar;9773064;"2018-04-06 07:41";60.0571;24.8972;22.3;181;182;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:30";"2018-06-04 09:29";1418.98;-1.0;-0.02;on time;on time;complete
4674;Star;9364722;"2018-04-06 07:41";59.5463;24.7265;23.3;342;339;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:27";"2018-06-04 09:20";1417.98;-0.14;-0.12;on time;on time;complete
4675;Megastar;9773064;"2018-04-06 07:43";60.0447;24.8981;22.5;176;177;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:29";"2018-06-04 09:33";1419.05;-1.0;0.07;on time;late arrival;complete
4676;Star;9364722;"2018-04-06 07:43";59.5589;24.7178;22.8;343;337;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:27";"2018-06-04 09:27";1418.09;-0.14;0.0;on time;on time;complete
4677;Megastar;9773064;"2018-04-06 07:43";60.0429;24.8984;22.6;176;178;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:29";"2018-06-04 09:29";1418.98;-1.0;0.0;on time;on time;complete
4678;Star;9364722;"2018-04-06 07:43";59.559;24.7178;22.8;343;337;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:27";"2018-06-04 09:31";1418.16;-0.14;0.07;on time;late arrival;complete
4679;Star;9364722;"2018-04-06 07:45";59.5711;24.7089;22.1;341;337;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:27";"2018-06-04 09:22";1418.01;-0.14;-0.08;on time;on time;complete
4680;Megastar;9773064;"2018-04-06 07:45";60.0317;24.899;22.4;182;184;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:30";"2018-06-04 09:31";1419.01;-1.0;0.02;on time;late arrival;complete
4681;Star;9364722;"2018-04-06 07:45";59.5723;24.7081;22.1;342;337;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:27";"2018-06-04 09:28";1418.11;-0.14;0.02;on time;late arrival;complete
4682;Megastar;9773064;"2018-04-06 07:47";60.0216;24.8983;22.7;182;183;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:29";"2018-06-04 09:26";1418.93;-1.0;-0.05;on time;on time;complete
4683;Star;9364722;"2018-04-06 07:46";59.5788;24.7034;22.1;345;337;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:27";"2018-06-04 09:26";1418.08;-0.14;-0.02;on time;on time;complete
4684;Star;9364722;"2018-04-06 07:47";59.5849;24.699;22.1;346;337;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:26";"2018-06-04 09:23";1418.03;-0.14;-0.05;on time;on time;complete
